skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:51:03Z
quality-playbook	github/awesome-copilot	2026-08-05T21:51:03Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:51:03Z
refactor	github/awesome-copilot	2026-08-05T21:51:03Z
code-review	getsentry/skills	2026-08-05T21:51:03Z
code-simplifier	getsentry/skills	2026-08-05T21:51:03Z
find-bugs	getsentry/skills	2026-08-05T21:51:03Z
security-threat-model	openai/skills	2026-08-05T21:51:03Z
supabase	supabase/agent-skills	2026-08-05T21:51:03Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:51:03Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:51:03Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:51:03Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:51:03Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:51:03Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:51:03Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:51:03Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:51:03Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:51:03Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:51:03Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:51:03Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:51:03Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:51:03Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:51:03Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:51:03Z
api-design-principles	wshobson/agents	2026-08-05T21:51:03Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:51:03Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:51:03Z
error-handling-patterns	wshobson/agents	2026-08-05T21:51:03Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:51:04Z
secrets-management	wshobson/agents	2026-08-05T21:51:04Z
sast-configuration	wshobson/agents	2026-08-05T21:51:04Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:51:04Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:51:04Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:51:04Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:51:04Z
